Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
04-JUL-2019,9767.8,9793.5,9765.2,9776.8,1147118816.0,25933.88
05-JUL-2019,9793.65,9805.3,9644.85,9657.65,1396093695.0,32083.96
08-JUL-2019,9619.4,9620.9,9418.0,9447.8,1288620102.0,30917.49
09-JUL-2019,9428.05,9473.4,9375.8,9455.65,1214460295.0,33655.33
10-JUL-2019,9443.65,9482.5,9385.7,9400.1,1026048152.0,27668.55
11-JUL-2019,9447.15,9475.7,9414.1,9466.4,1079846072.0,26576.05
12-JUL-2019,9480.05,9519.75,9448.4,9457.75,1190248591.0,30000.09
15-JUL-2019,9499.25,9502.7,9427.85,9469.15,1033882365.0,25600.13
16-JUL-2019,9473.85,9533.55,9456.6,9529.85,1190719870.0,27452.18
17-JUL-2019,9535.25,9563.95,9520.15,9543.35,1212551110.0,27995.1
18-JUL-2019,9534.15,9534.5,9447.65,9456.15,1228256718.0,28525.29
19-JUL-2019,9484.55,9494.9,9288.8,9304.65,1315031986.0,33002.07
22-JUL-2019,9282.6,9285.3,9197.3,9247.75,1243917817.0,31126.42
23-JUL-2019,9265.85,9277.65,9208.9,9233.55,1269990614.0,31342.34
24-JUL-2019,9228.8,9256.4,9134.65,9160.45,1308470960.0,32741.54
25-JUL-2019,9173.75,9232.45,9148.45,9159.15,1414137488.0,37957.16
26-JUL-2019,9156.0,9206.7,9125.35,9192.6,1347461417.0,31422.91
29-JUL-2019,9205.35,9208.2,9081.7,9108.9,1802170466.0,29125.45
30-JUL-2019,9123.65,9165.8,8995.25,9004.05,1691503549.0,33934.14
31-JUL-2019,8963.3,9058.45,8928.0,9044.95,1516265987.0,35453.77
01-AUG-2019,9001.7,9026.15,8859.55,8935.75,1376490936.0,32565.21
02-AUG-2019,8890.5,9007.05,8821.1,8943.95,1610762671.0,36894.42
05-AUG-2019,8866.9,8866.9,8765.2,8831.95,1391133138.0,31759.41
06-AUG-2019,8792.65,8960.95,8791.6,8918.6,1429481738.0,34011.55
07-AUG-2019,8928.6,8953.25,8840.15,8854.65,1477930501.0,33060.13
08-AUG-2019,8888.45,8998.9,8844.4,8979.65,1415257373.0,32589.63
09-AUG-2019,9022.5,9103.1,9010.35,9046.55,1488638644.0,33800.2
13-AUG-2019,9066.35,9070.2,8874.85,8890.1,1550222284.0,36224.77
14-AUG-2019,8942.0,8998.25,8897.0,8971.1,1399939825.0,32400.08
16-AUG-2019,8971.65,8999.2,8886.3,8988.8,1409193361.0,30286.91
19-AUG-2019,9022.6,9061.4,8983.65,8997.95,1129497146.0,24092.13
20-AUG-2019,9004.75,9012.1,8930.5,8957.4,1200635571.0,26986.83
21-AUG-2019,8957.85,8965.1,8858.45,8864.5,1342390384.0,26710.44
22-AUG-2019,8851.35,8853.25,8706.45,8719.25,1748360277.0,31256.14
23-AUG-2019,8687.45,8812.85,8628.35,8790.55,1720372620.0,32604.25
26-AUG-2019,8933.05,8973.2,8735.3,8964.7,1807502221.0,34485.57
27-AUG-2019,9004.0,9047.85,8972.9,9022.25,1856675130.0,45360.62
28-AUG-2019,9023.8,9047.55,8930.1,8970.9,1445504112.0,28470.12
29-AUG-2019,8938.05,8954.65,8874.25,8906.1,1630842337.0,31386.41
30-AUG-2019,8936.45,8991.2,8859.75,8977.55,1523912786.0,32904.0
03-SEP-2019,8927.9,8931.65,8783.75,8802.35,1255668033.0,26993.23
04-SEP-2019,8798.75,8841.95,8751.25,8833.1,1269569807.0,29501.28
05-SEP-2019,8848.0,8894.9,8825.0,8846.3,1351088433.0,27735.83
06-SEP-2019,8873.75,8928.45,8859.25,8920.4,1284952453.0,28083.04
09-SEP-2019,8914.7,8986.6,8882.9,8972.4,1180692711.0,24548.23
11-SEP-2019,8992.7,9026.25,8981.1,9015.15,1686706021.0,34125.02
12-SEP-2019,9036.95,9061.0,8969.85,8981.6,1510572474.0,30201.06
13-SEP-2019,8992.65,9056.8,8945.6,9050.85,1528790912.0,29312.29
16-SEP-2019,8992.15,9044.45,8978.95,9009.15,1267057381.0,28072.36
17-SEP-2019,9010.55,9012.1,8838.25,8853.9,1528208456.0,30275.45
18-SEP-2019,8898.95,8912.2,8841.55,8877.7,1327293246.0,27035.82
19-SEP-2019,8884.5,8884.5,8738.65,8766.45,1654852665.0,26012.54
20-SEP-2019,8799.45,9293.9,8748.05,9230.5,3274046775.0,79648.27
23-SEP-2019,9425.4,9552.25,9386.9,9486.6,2217212715.0,60924.59
24-SEP-2019,9489.1,9530.35,9434.65,9474.75,1693301926.0,41566.48
25-SEP-2019,9458.05,9458.45,9326.1,9344.15,1574024070.0,37980.64
26-SEP-2019,9365.5,9471.25,9363.25,9443.8,1911437928.0,45843.95
27-SEP-2019,9435.55,9465.35,9388.5,9395.6,1570445839.0,31917.57
30-SEP-2019,9384.65,9389.55,9276.9,9340.9,2050542076.0,38297.79
01-OCT-2019,9372.7,9402.0,9140.05,9236.4,2602388500.0,45231.43
03-OCT-2019,9207.15,9243.8,9153.7,9198.4,1908360195.0,33851.43
04-OCT-2019,9253.1,9264.0,9078.8,9091.65,1766567821.0,33949.41
07-OCT-2019,9104.5,9120.3,9031.6,9040.65,1548649686.0,30009.5
09-OCT-2019,9059.1,9183.3,9008.85,9177.95,1756332102.0,34303.41
10-OCT-2019,9153.5,9165.05,9097.55,9112.75,1726737948.0,31806.63
11-OCT-2019,9132.4,9207.35,9076.3,9161.4,1698105307.0,35841.61
14-OCT-2019,9187.7,9248.5,9156.9,9192.65,1462070439.0,29098.23
15-OCT-2019,9208.7,9277.25,9196.85,9253.85,1469059934.0,33014.77
16-OCT-2019,9282.95,9301.75,9246.65,9281.85,1633738321.0,35622.48
17-OCT-2019,9286.65,9399.25,9268.05,9391.0,1838774093.0,36248.22
18-OCT-2019,9391.85,9494.7,9373.5,9479.2,2189914779.0,40454.63
22-OCT-2019,9481.05,9526.8,9435.85,9448.25,1994511831.0,47065.23
23-OCT-2019,9457.25,9497.75,9418.25,9458.65,1700321871.0,38607.32
24-OCT-2019,9501.35,9516.65,9402.5,9437.65,2226288262.0,39410.55
25-OCT-2019,9478.45,9479.05,9365.55,9431.1,2062470559.0,38946.69
27-OCT-2019,9493.7,9504.05,9462.75,9478.35,360212505.0,5430.73
29-OCT-2019,9490.1,9615.75,9475.5,9598.35,2172096449.0,42471.76
30-OCT-2019,9666.6,9673.7,9602.1,9647.55,1919096114.0,40829.07
31-OCT-2019,9686.4,9733.35,9671.3,9689.65,2885828204.0,49218.41
01-NOV-2019,9703.1,9730.75,9678.2,9704.0,2681945576.0,41093.65
04-NOV-2019,9736.75,9780.0,9712.1,9732.4,1982427924.0,38806.19
05-NOV-2019,9757.75,9760.8,9657.7,9694.05,1694415268.0,37184.78
06-NOV-2019,9694.85,9750.55,9646.1,9721.35,1691221588.0,38978.83
07-NOV-2019,9768.9,9771.3,9718.25,9764.3,1686471088.0,39070.16
08-NOV-2019,9753.25,9785.4,9669.95,9683.3,1975276988.0,42626.68
11-NOV-2019,9665.65,9708.35,9655.5,9695.85,1565756978.0,31758.69
13-NOV-2019,9698.1,9730.6,9618.25,9633.95,1821347033.0,39174.89
14-NOV-2019,9648.85,9671.1,9596.85,9650.4,1953118332.0,35357.78
15-NOV-2019,9676.95,9721.3,9657.8,9667.3,2261246332.0,37553.89
18-NOV-2019,9685.85,9705.7,9654.4,9668.6,1816857986.0,32257.38
19-NOV-2019,9692.2,9714.25,9662.6,9702.15,2512104185.0,41120.45
20-NOV-2019,9748.4,9776.7,9725.7,9744.9,3435997894.0,40516.14
21-NOV-2019,9768.05,9769.5,9703.9,9712.35,2441098830.0,37020.04
